Category,Sub-Category,Sub-Sub-Category,Tools,L1,L2,L3
Analytics,Visualization,Reporting,Qlik,"* Navigate Qlik Sense apps and dashboards
* Use basic visualizations: bar, pie, line charts
* Apply filters and selections to explore data
* Understand Qlik’s associative data model
* Load simple datasets using the Data Manager
* Export charts and tables for reporting","* Create interactive dashboards with multiple sheets
* Use advanced visualizations: combo charts, KPI objects, maps
* Build and manage data models using joins and concatenations
* Write basic Qlik script for data transformation
* Use set analysis for dynamic filtering
* Schedule data reloads and manage app publishing","* Design scalable and optimized dashboards for large datasets
* Implement section access for data security
* Use advanced set analysis and variables
* Build custom extensions and visualizations using JavaScript
* Automate report generation and distribution via NPrinting
* Integrate Qlik dashboards into portals or third-party apps."
Analytics,Visualization,Reporting,Power BI,"* Import data from Excel or CSV into Power BI
* Create basic visuals: bar, line, pie charts
* Use slicers and filters to explore data
* Format visuals with titles, labels, and colors
* Build simple dashboards with 2–3 visuals
* Publish reports to Power BI Service","* Create interactive dashboards with bookmarks and drill-through
* Use advanced visuals: combo charts, KPI cards, maps
* Build relationships between tables and manage data models
* Write basic DAX formulas for calculated columns and measures
* Schedule data refreshes and manage report access
* Use themes and templates for consistent design","* Optimize data models for performance and scalability
* Implement row-level security and role-based access
* Use advanced DAX for time intelligence and complex calculations
* Create paginated reports for printable formats
* Automate report distribution using Power Automate
* Integrate Power BI with other tools (e.g., Teams, SharePoint, custom apps)"
Analytics,Visualization,Reporting,Tableau,"* Connect to simple data sources (Excel, CSV)
* Create basic charts: bar, line, pie
* Use filters and parameters to explore data
* Format visuals with titles, labels, and colors
* Build simple dashboards with basic interactivity
* Publish to Tableau Public or Tableau Server","* Create dashboards with multiple sheets and actions (filter, highlight)
* Use advanced chart types: scatter plots, maps, bullet charts
* Build relationships and joins between multiple data sources
* Create calculated fields and use basic Level of Detail (LOD) expressions
* Apply dashboard layout best practices for usability
* Schedule data refreshes and manage workbook versions","* Optimize dashboards for performance and scalability
* Implement row-level security and user filters
* Use advanced LOD expressions for complex aggregations
* Build predictive visuals and statistical charts
* Automate report distribution and embed dashboards in portals
* Use Tableau JavaScript API for custom integrations"
Analytics,Visualization,Reporting,Looker,"* Connect to simple data sources (Google Sheets, CSV)
* Create basic charts: bar, line, pie
* Use filters and date range controls
* Format charts with titles, labels, and colors
* Build simple dashboards with 2–3 visuals
* Share reports via link or embed","* Create dashboards with multiple pages and controls
* Use advanced charts: scorecards, combo charts, tables with conditional formatting
* Blend data from multiple sources
* Create calculated fields and custom metrics
* Use filters, controls, and drill-down features
* Schedule report refreshes and manage access","* Optimize dashboards for performance and scalability
* Implement row-level security and user-based views
* Use advanced calculated fields and regular expressions
* Automate report generation and distribution
* Build custom visualizations using community components or APIs
* Integrate Looker dashboards into portals or third-party apps"
Analytics,Visualization,Reporting,Excel,"* Create basic charts: bar, line, pie
* Use cell formatting and conditional formatting
* Apply basic formulas (SUM, AVERAGE, COUNT)
* Use filters and sorting in tables
* Insert simple tables and visuals into reports
* Save and share Excel files for reporting","* Create Pivot Tables and Pivot Charts
* Use slicers and timelines for interactivity
* Apply advanced formulas (IF, VLOOKUP, INDEX-MATCH)
* Clean and transform data using Power Query
* Build dashboards with multiple visuals and dynamic ranges
* Use conditional formatting for data-driven visuals","* Create data models using Power Pivot
* Write DAX formulas for calculated fields
* Automate reporting tasks using Macros and VBA
* Connect Excel to external data sources (SQL, Power BI, SharePoint)
* Build scalable dashboards with dynamic controls
* Optimize file performance and manage large datasets"
Analytics,Visualization,Reporting,IBM Cognos,"* Navigates IBM Cognos interface and runs existing reports.
* Understands basic reporting concepts like packages and queries.
* Can apply simple filters and parameters to modify reports.","* Creates custom reports and dashboards using Cognos Report Studio.
*  Implements conditional formatting, calculations, and basic visualizations.
* Manages data sources and applies security filters for controlled access.","* Designs complex reporting frameworks and multi-layered dashboards.
* Optimizes performance of Cognos reports and models.
* Integrates Cognos with other enterprise systems for advanced analytics and real-time reporting.
* Advises on enterprise-level reporting strategies and governance."
Analytics,Visualization,Dashboarding,Power BI,"* Import data and create basic visuals (bar, line, pie)
* Use slicers and filters for interactivity
* Format visuals with titles, labels, and colors
* Build simple dashboards with 2–3 visuals
* Publish dashboards to Power BI Service
* Share dashboards with stakeholders","* Create dashboards with multiple pages and drill-through actions
* Use advanced visuals: KPI cards, combo charts, maps
* Build relationships between tables and manage data models
* Write basic DAX formulas for calculated columns and measures
* Apply bookmarks, tooltips, and dynamic titles
* Schedule data refreshes and manage access permissions","* Optimize dashboards for performance and large datasets
* Implement row-level security and role-based access
* Use advanced DAX for time intelligence and complex calculations
* Create paginated reports for printable formats
* Automate dashboard updates and report distribution
* Embed dashboards into portals or third-party applications
* Apply design best practices for executive-level storytelling"
Analytics,Visualization,Dashboarding,Tableau,"* Connect to simple data sources (Excel, CSV)
* Create basic charts: bar, line, pie
* Use filters and parameters for interactivity
* Format visuals with titles, labels, and colors
* Build simple dashboards with 2–3 visuals
* Publish dashboards to Tableau Public","* Create dashboards with multiple sheets and dashboard actions (filter, highlight, URL)
* Use advanced visuals: scatter plots, maps, bullet charts
* Build relationships and joins between multiple data sources
* Create calculated fields and use basic Level of Detail (LOD) expressions
* Apply dashboard layout best practices for usability
* Schedule data refreshes and manage workbook versions","* Optimize dashboards for performance and scalability
* Implement row-level security and user filters
* Use advanced LOD expressions for complex aggregations
* Build predictive visuals and statistical charts
* Automate dashboard updates and embed dashboards in portals
* Use Tableau JavaScript API for custom integrations
* Apply design best practices for executive-level storytelling"
Analytics,Visualization,Dashboarding,Looker,"* Connect to simple data sources (Google Sheets, CSV)
* Create basic charts: bar, line, pie
* Use filters and date range controls
* Format charts with titles, labels, and colors
* Build simple dashboards with 2–3 visuals
* Share dashboards via link or embed","* Create dashboards with multiple pages and controls
* Use advanced charts: scorecards, combo charts, tables with conditional formatting
* Blend data from multiple sources
* Create calculated fields and custom metrics
* Use filters, controls, and drill-down features
* Schedule data refreshes and manage access","* Optimize dashboards for performance and scalability
* Implement row-level security and user-based views
* Use advanced calculated fields and regular expressions
* Automate dashboard updates and embed dashboards in portals
* Build custom visualizations using community components or APIs
* Apply design best practices for executive-level storytelling"
Analytics,Visualization,Dashboarding,Google Sheets,"* Create basic charts: bar, line, pie
* Use cell formatting and conditional formatting
* Apply basic formulas (SUM, AVERAGE, COUNT)
* Use filters and sorting in tables
* Create simple dashboards with static visuals
* Share dashboards via link or email","* Create Pivot Tables and Pivot Charts
* Use slicers and dropdowns for interactivity
* Apply advanced formulas (IF, VLOOKUP, INDEX-MATCH)
* Use conditional formatting for data-driven visuals
* Build dashboards with multiple sheets and dynamic ranges
* Link charts to dynamic data sources","* Automate data updates using Google Apps Script
* Connect Google Sheets to external data sources (APIs, Google Analytics, BigQuery)
* Use QUERY function for advanced data manipulation
* Build scalable dashboards with real-time data
* Embed dashboards in websites or internal portals
* Apply design best practices for executive-level storytelling"
